posto,1,2,3,4,5,6,7,8,9,10,11,12
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.8,-0.3,2.0,1.3,2.2,2.4,2.7,1.8,1.1,0.7,1.3,0.9
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.4,0.3,0.1,0.3,0.0,0.2,0.1,0.0,-0.1,0.4,0.0
76,2.6,-6.8,4.1,-5.5,2.7,17.8,13.5,18.3,4.6,12.4,18.7,20.9
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-0.3,3.5,1.3,0.9,0.7,-3.0,-8.0,-3.5,-1.7,1.2,-3.0,-0.2
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.0,-1.3,11.6,-12.3,-4.8,4.0,5.5,18.4,10.7,-4.5,4.2,2.5
103,-0.4,0.7,-1.1,0.0,1.8,-2.8,1.9,0.4,-0.4,0.7,1.7,-0.2
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,-0.6,-0.4,-8.1,-2.1,0.8,-1.8,-1.8,-2.5,-0.1,-2.7,2.2,-0.2
118,-0.5,-0.1,1.8,0.4,-0.4,0.4,0.3,-0.3,1.0,0.2,1.3,-0.6
122,3.0,2.2,-3.0,-0.5,0.2,-1.2,3.7,1.8,0.4,1.6,1.9,-1.3
123,-7.9,-12.7,-10.2,-14.0,6.9,-15.6,-6.1,-3.7,-2.1,-1.4,6.1,-1.8
129,19.6,18.1,22.6,9.1,7.5,12.3,11.1,7.7,10.1,12.5,15.2,9.6
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,23.8,36.9,47.1,38.9,23.5,8.5,25.2,17.8,12.8,26.6,27.6,61.5
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,8.7,11.5,28.1,22.2,2.6,4.2,-0.4,1.3,1.7,8.9,15.9,12.1
198,21.7,10.1,15.6,7.8,13.8,13.9,8.1,8.1,3.6,4.2,10.5,14.9
202,-3.2,-1.5,-2.8,-1.3,0.1,-0.9,-0.6,-0.1,0.2,-0.2,-0.8,0.2
203,-0.4,0.4,-0.2,0.3,1.7,0.3,0.2,0.0,-0.1,-0.1,0.1,0.1
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,0.1,-0.9,0.0,-1.1,-0.4,-0.4,0.8,1.0,0.2,-0.1,0.1,0.3
248,1.1,0.5,1.0,0.2,0.5,0.1,0.3,-0.2,0.1,-0.3,-0.2,0.9
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,78.2,81.0,72.0,42.2,2.9,9.2,8.7,7.5,16.7,22.5,10.8,34.8
261,1.8,0.8,3.2,1.2,0.4,0.8,1.1,0.9,0.6,0.5,1.1,2.8
263,-0.6,-0.2,-0.3,-0.4,-0.2,0.1,-0.3,-0.2,-0.2,0.0,0.6,2.0
273,294.7,549.2,274.8,493.0,138.0,43.2,42.6,41.1,74.5,0.0,-26.3,272.5
284,1.0,-1.3,11.4,-11.7,-7.2,2.4,5.1,18.5,9.7,-3.7,4.0,3.1
285,1.7,13.7,0.3,-1.8,-1.3,3.4,-1.1,-0.2,-0.2,-0.4,-0.5,-1.3
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,-0.5,-0.1,1.8,0.4,-0.4,0.4,0.3,-0.3,1.0,0.2,1.3,-0.6
303,-3.5,-1.6,-2.9,-1.3,0.4,-0.7,-0.5,-0.2,0.2,-0.4,-1.2,0.0
306,-3.5,-1.6,-2.9,-1.3,0.4,-0.7,-0.5,-0.2,0.2,-0.4,-1.2,0.0
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
